,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
111,Kid Cosmic,"['Superhero', 'Dramedy']",Craig McCracken,,,United StatesCanada,English,1,10 ,"['Craig McCracken', 'Rob Renzetti', 'Melissa Cobb']",,"['Nico Colaleo', 'Jay Wade Edwards']",17-25 minutes,,,Netflix,HDTV 1080p,Stereo,"February 2, 2021 (2021-02-02) –present",17,present,,Dave Thomas,,,,"['Craig McCracken', 'Francisco Angones', 'Lauren Faust']","['The Powerpuff Girls', ""Foster's Home for Imaginary Friends"", 'Wander Over Yonder']",,,Netflix Animation,,,Andy Bean,,,"['Craig McCracken', 'Francisco Angones', 'Kevin Seccia', 'Amy Higgins', 'Rob Renzetti', 'Ben Joseph', 'Tim McKeon', 'Todd Casey']","['Craig McCracken', 'Rob Renzetti', 'Benjamin Balisteri', 'Dave Thomas']",,"['Jack Fisher', 'Amanda C. Miller', 'Lily Rose Silver', 'Tom Kenny', 'Fred Tatasciore', 'Keith Ferguson']",,,,,,,,,,,,Mercury Filmworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,The Hook Up Plan,,"['Noémie Saglio', 'Julien Teisseire', 'Chris Lang']","['Zita Hanrot', 'Sabrina Ouazani', 'Joséphine Draï', 'Marc Ruchmann', 'Syrus Shahidi']",,France,French,2,15 ,,Marc Koninckx afc-sbc,,,['Unrated Studios'],Netflix,Netflix,,,"December 7, 2018 (2018-12-07) –present (present)",,present,,,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Family Business,,Igor Gotesman,Jonathan CohenGérard DarmonJulia PiatonLiliane RovèreEnrico MaciasLouise ColdefyAli MarhyarOlivier Rosemberg,,France,French,2,12,,,,,,Netflix,Netflix,,,28 June 2019 (2019-06-28),,06,,,,,,,,,,Les Films Du Kiosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Mortel,"['Fantasy television', 'Supernatural fiction', 'Teen drama']",Frederic Garcia,"['Carl Malapa', 'Nemo Schiffman', 'Manon Bresch', 'Corentin Fila']",,France,French,1,6,,,,50 minutes,,,Netflix,,,21 November 2019 (2019-11-21),50,11,,,,,,,,,,,,"['Gilles de Verdière', 'Régis Vallon']",,,,,"['Simon Astier', 'Edouard Salier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Vampires,,"['Benjamin Dupas', 'Isaure Pisani-Ferry']","['Oulaya Amamra', 'Suzanne Clément', 'Aliocha Schneider', 'Kate Moran', 'Mounir Amamra', 'Juliette Cardinski', 'Pierre Lottin']",,France,French,1,6,,,,,,,,,,20 March 2020 (2020-03-20),,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Into the Night,"['Apocalyptic', 'Science fiction', 'Drama', 'Thriller']",,"['Jan Bijvoet', 'Nabil Mallat', 'Pauline Etienne', 'Laurent Capelluto', 'Stefano Cassetti', 'Astrid Whettnall', 'Vincent Londez', 'Regina Bikkinina', 'Alba Gaïa Bellugi', 'Babetida Sadjo', 'Mehmet Kurtuluş', 'Ksawery Szlenkier']",,Belgium,,1,6,"['Jason George', 'Jacek Dukaj', 'Tomasz Bagiński', 'D.J. Talbot']",,,35–40 minutes,,,Netflix,4K (16:9 UHDTV),Dolby Digital,"May 1, 2020 (2020-05-01) –present (present)",35,present,,,,,['Jacek Dukaj'],Jason George,,,,Entre Chien et Loup,,,,,Single-camera,,,,,,,,"['French', 'Italian', 'Polish', 'English', 'Russian', 'Turkish', 'Dutch', 'Arabic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Lupin,"['Crime', 'Thriller', 'Mystery', 'Drama']",George KayFrançois Uzan,"['Omar Sy', 'Ludivine Sagnier', 'Clotilde Hesme', 'Vincent Londez']",,France,French,1,5,,Christophe NuyensMartial Schmeltz,Jean-Daniel Fernandez-QundezRichard MarizyAudrey Simonaud,42-52 minutes,,Netflix,Netflix,4K (UHDTV),5.1 surround sound,8 January 2021 (2021-01-08) –present,42,present,,,,,Arsène Lupinby Maurice Leblanc,,,,,Gaumont Television,,Isabelle DegeorgesNathan FranckMartin Jaubert,Mathieu Lamboley,,,George KayFrançois Uzan,"['Louis Leterrier', 'Marcela Said']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,How to Sell Drugs Online (Fast),"['Comedy-drama', 'Crime', 'Dark comedy', 'Coming-of-age', 'Techno-thriller', 'Teen drama']","['Philipp Käßbohrer', 'Matthias Murmann']","['Maximilian Mundt', 'Anna Lena Klenke', 'Danilo Kamperidis', 'Damian Hardung', 'Luna Baptiste Schaller', 'Leonie Wesselow', 'Bjarne Mädel']","['Konstantin Gropper', 'Markus Winter']",Germany,German,2,12 ,"['Philipp Käßbohrer', 'Matthias Murmann', 'Lars Montag']","['', 'Armin Franzen', 'Borris Kehl']","['Marc Schubert', 'Rainer Nigrelli', 'Alex Kutka', 'Christoph Cepok']",25–32 minutes,['bildundtonfabrik'],,Netflix,4K (16:9 UHDTV),Dolby Digital,31 May 2019 (2019-05-31) –present,25,present,,,,,,,,,,,,"['Stefan Titze', 'André Zoch']",,,Single-camera,"['Sebastian Colley', 'Philipp Käßbohrer', 'Stefan Titze']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Biohackers,"['Techno-thriller', 'Science fiction', 'Drama']",Christian Ditter,"['Luna Wedler', 'Jessica Schwarz', 'Thomas Prenn', 'Adrian Julius Tillmann', 'Jing Xiang', 'Caro Cult', 'Sebastian Jakob Doppelbauer']",,Germany,German,1,6,,Fil Eisler,,41–47 minutes,,,Netflix,,,20 August 2020 (2020-08-20) –present,41,present,,,,,,,,,,Claussen+Putz Filmproduktion,,Uli PutzJakob Claussen,,,,,"['Christian Ditter', 'Tim Trachte [de]']",,,,,,,,,,,,,,,"['Tanja Bubbel', 'Nikolaus Schulz-Dornburg', 'Johanna Thalmann']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,The Last Word,,,"['Anke Engelke', 'Claudia Geisler-Bading']",,Germany,German,1,6,,,,30–49 minutes,,Netflix,Netflix,,,"September 17, 2020 (2020-09-17)",30,09,,,,,,,,,,Pantaleon Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Barbaren,"['Historical drama', 'Action']",,"['Laurence Rupp', 'Jeanne Goursaud', 'David Schütter']",,Germany,,1,6,,,,41–51 minutes,"['Gaumont', 'Netflix']",Netflix,Netflix,,,"October 23, 2020 (2020-10-23)",41,10,,,,,,,,,,,,,,,,,,,,,,,"German, Latin",,,,,,,,,,Barbaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Over Christmas,"['Comedy', 'Drama', 'Romance']",,"['Luke Mockridge', 'Seyneb Saleh', 'Cristina do Rego']",,Germany,German,N/A,3,,,,44–50 minutes,"['Brainpool', 'Lucky Pics']",Netflix,Netflix,,,"November 27, 2020 (2020-11-27)",44,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜberWeihnachten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Tribes of Europa,"['Science fiction', 'Drama']",,,,,,N/A,N/A,,,,,,Netflix,,,,"February 19, 2021 (2021-02-19)",,02,,,,,,,,,,W&B Television,,,,,,"['Philip Koch', 'Jana Burbach', 'Benjamin Seiler']","['Philip Koch', 'Florian Baxmeyer']",,,,,,"['German', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Delhi Crime,"['Crime', 'Drama', 'Anthology']",Richie Mehta,"['Shefali Shah', 'Rasika Dugal', 'Adil Hussain', 'Rajesh Tailang']",,India,,1,7 ,"['Aaron Kaplan', 'Jeff Sagansky', 'Florence Sloan', 'Apoorva Bakshi', 'Pooja Kohli', 'Sanjay', 'Bachani', 'John Penotti', 'Kilian Kerwin', 'Michael Hogan']",Johan Heurlin Aidt,,45-64 min,Golden KaravanIvanhoe ProductionsFilmKaravanPoor Man's Productions,Netflix,Netflix,1080p (HDTV),Dolby Digital,22 March 2019 (2019-03-22) –present,45,present,,,India,,,Laurence BowenToby Bruce,,,,,,,Andrew Lockington,Beverly Mills,Single-camera,Richie Mehta,Richie Mehta,,,,,,HindiEnglish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,She,,Imtiaz Ali,Aaditi PohankarVijay VarmaKishore kumar,,India,Hindi,1,7,,Amit Roy,,,Window Seat FilmsInferno PicturesViacom18 Motion PicturesTipping Point Productions,Netflix,Netflix,,,20 March 2020 (2020-03-20),,03,Ishaan Chhabra,,India,,,,,,,,,,Gaurang Soni,Manish Jaitly,,Imtiaz AliDivya Johri,Arif AliAvinash Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hasmukh,CrimeDark comedy,,Vir DasRanvir ShoreyManoj Pahwa,,India,Hindi,1,10 ,,Akash Agrawal,Ninad KhanolkarArjun Srivastava,,Emmay EntertainmentApplause Entertainment,Netflix,Netflix,,,17 April 2020 (2020-04-17),,04,,,,,,,,,,,,Monisha AdvaniMadhu BhojwaniNikkhil AdvaniVir DasSameer Nair,,,,Nikkhil AdvaniVir DasNikhil GonsalvesSuparn VermaSatyam KumarNeeraj Pandey,Nikhil Gonsalves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Betaal,"['Horror', 'Action thriller', 'Zombie']",Patrick Graham,"['Vineet Kumar Singh', 'Aahana Kumra']","['Naren Chandavarkar', ' Benedict Taylor']",India,Hindi,1,4 ,"['Patrick Graham', 'Jason Blum', 'Jeremy Gold', 'Marci Wiseman', 'Kilian Kerwin', 'John Penotti', 'Michael Hogan']","['Shrinivas Achary', 'Tanay Satam']","['Abhijit Deshpande', 'Sangeeth Varghese']",45-49 Minutes,"['Blumhouse Productions', 'Red Chillies Entertainment', 'SK Global Entertainment']",Netflix,Netflix,4K (UHDTV),Dolby Digital,24 May 2020 (2020-05-24),45,05,,,,,,,,,,,,"['Gauri Khan', 'Gaurav Verma']",,,Single-camera,"['Patrick Graham', 'Suhani Kanwar']","['Patrick Graham', 'Nikhil Mahajan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Masaba Masaba,,,Masaba GuptaNeena Gupta,,India,English,1,6,,,,,,Netflix,,,,28 August 2020 (2020-08-28),,08,,Ashvini Yardi,,,,,,,,Viniyard Films,,,,,,"Sonam Nair, Nandini Gupta, Anupama Ramachandran",Sonam Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Mismatched,"Romantic comedy
Coming-of-age

Drama",,"['Prajakta Koli', 'Rohit Saraf', 'Rannvijay Singha', 'Vidya Malavade']",Jasleen RoyalSamar GrewalAnurag SaikiaPrateek KuhadShashwaTaaruk RainaDee MCAbhijay NegiHiphop Bhaiya,India,,1,6,,Avinash ArunMilind Jog,Sanyukta KazaNamrata Rao,35 minutes,,Netflix,Netflix,4K (UHDTV),,20 November 2020 (2020-11-20),35,11,,Ronnie Screwvala,,,When Dimple Met Rishiby Sandhya Menon,,,,,,,,,,,Gazal Dhaliwal,Akarsh KhuranaNipun Dharmadhikari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bhaag Beanie Bhaag,Romantic comedy,Neel ShahRavi Patel,"['Swara Bhaskar', 'Ravi Patel', 'Varun Thakur', 'Mona Ambegaonkar', 'Girish Kulkarni', 'Dolly Singh']",,India,,1,N/A,,,,,,Netflix,Netflix,,,4 December 2020 (2020-12-04),,12,,,,,,,,,,,,Bernad S.DavidRuben FleischerSehar LatifShivani Saran,,,,,Abi VargheseDebbie RaoIshaan Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Summertime,,,"['Rebecca Coco Edogamhe', 'Ludovico Tersigni', 'Amanda Campana', 'Andrea Lattanzi']",,Italy,Italian,1,8,,Federico Schlatter,"['Giuseppe Trepiccione', 'Alberto Masi', 'Marco Signoretti']",36–54 minutes,,,Netflix,2:1,,29 April 2020 (2020-04-29) –present (present),36,present,,,,"Emilia-Romagna, Lazio",Three Meters Above the Skyby Federico Moccia,"['Mirko Cetrangolo', 'Anita Rivaroli']",,,,Cattleya,,"['Marco Chimenz', 'Francesca Longardi', 'Giovanni Stabilini', 'Riccardo Tozzi']",Giorgio Poi,,,,"['Francesco Lagi', 'Lorenzo Sportiello']",,,,,,,Donatella Di Benedetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Curon,"['Supernatural drama', 'Thriller', 'Horror']","['Ezio Abbate', 'Ivano Fachin', 'Giovanni Galassi', 'Tommaso Matano']","['Valeria Bilello', 'Luca Lionello', '(See full cast list)']","['Giorgio Giampà', 'Carmelo Emanuele Patti', 'Ginevra Nervi']",Italy,,N/A,7 ,"['Daniel Campos Pavoncelli', 'Alessandro Mascheroni']",Benjamin Maier,"['Filippo Montemurro', 'Mirko Platania', 'Luca Montanari']",41-51 minutes,,,Netflix,,,10 June 2020 (2020-06-10) –present (present),41,present,,,,"Trentino-South Tyrol, Italy",an original ideaby Ivano FachinGiovanni GalassiTommaso Matano,,,,,Indiana Production,,"['Fabrizio Donvito', 'Marco Cohen', 'Benedetto Habib']",,,,"['Ezio Abbate', 'Ivano Fachin', 'Giovanni Galassi', 'Tommaso Matano']","['Fabio Mollo', 'Lyda Patitucci']",,,,,,"['Italian', 'Austrian German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,The Naked Director,"['Comedy-drama', 'Period drama']",,"['Takayuki Yamada', 'Shinnosuke Mitsushima', 'Tetsuji Tamayama', 'Misato Morita', 'Jun Kunimura', 'Lily Franky', 'Ryo Ishibashi']",,Japan,Japanese,1,8 ,"['Kaata Sakamoto', 'Taro Goto', 'Masaharu Take']",Hideo Yamamoto,['Zensuke Hori'],39–54 minutes,,,Netflix,4K (16:9 UHDTV),Dolby Digital,"August 8, 2019 (2019-08-08) –present (present)",39,present,,,,,Zenra Kantoku Muranishi Toru Den by  Nobuhiro Motohashi,,,,,,,"['Yasuhito Tachibana', 'Hiroyuki Akune']",Taisei Iwasaki,,Single-camera,,"['Masaharu Take (lead)', 'Eiji Uchida', 'Hayato Kawai']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Followers,,,"['Miki Nakatani', 'Elaiza Ikeda', 'Mari Natsuki', 'Yuka Itaya', 'KOM_I', 'Mika Nakashima', 'Tadanobu Asano', 'Shuhei Uesugi', 'Nobuaki Kaneko', 'Hidekazu Mashima', 'Sho Kasamatsu', 'Yutaro']",,Japan,Japanese,N/A,,,,,,,,Netflix,4K (16:9 UHDTV),Dolby Digital,"February 27, 2020 (2020-02-27) –present (present)",,present,,,,,,,,,,,,,,,Single-camera,,['Mika Ninagawa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,JU-ON: Origins,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Ririka', 'Koki Osamura', 'Seiko Iwaido', 'Kai Inowaki', 'Ryushin Tei', 'Yuya Matsuura', 'Kaho Tsuchimura', 'Tokio Emoto', 'Nobuko Sendo', 'Kana Kurashina']",,Japan,Japanese,1,6 ,"['Toshinori Yamaguchi', 'Kazutaka Sakamoto']",,['Yoshifumi Fukazawa'],26–31 minutes,,"['NBCUniversal Entertainment Japan', 'Netflix']",Netflix,4K (16:9 UHDTV),Dolby Digital,"July 3, 2020 (2020-07-03) –present (present)",26,present,,,,,Ju-On by Takashi Shimizu,,,,,W Field,,"['Takashige Ichise', 'Mikihiko Hirata']",Kuniaki Haishima,,Hidetoshi Shinomiya,"['Hiroshi Takahashi', 'Takashige Ichise']",Sho Miyake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Alice in Borderland,"['Science fiction', 'Suspense-thriller', 'Drama']",,"['Kento Yamazaki', 'Tao Tsuchiya', 'Yūki Morinaga', 'Keita Machida', 'Ayame Misaki', 'Nijirō Murakami', 'Yutaro Watanabe', 'Sho Aoyagi', 'Ayaka Miyoshi', 'Dori Sakurada', 'Aya Asahina', 'Shuntarō Yanagi', 'Mizuki Yoshida', 'Kina Yazaki', 'Tsuyoshi Abe', 'Nobuaki Kaneko', 'Riisa Naka']",,Japan,Japanese,1,8 ,,Taro Kawazu,"['Tsuyoshi Imai', 'Shoukichi Kaneda']",41–52 minutes,,Netflix,Netflix,4K (Ultra HD),Dolby Digital,"December 10, 2020 (2020-12-10)",41,12,,Akira Morii,,,"The original graphic novel ""Alice in Borderland""by Haro Aso published by Shogakukan Inc.",,,,,Robot Communications Inc.,,,Yutaka Yamada,,Multi-camera,"['Yoshiki Watabe', 'Yasuko Kuramitsu', 'Shinsuke Sato']",Shinsuke Sato,,,,,,,Kaata Sakamoto,,,,,,,,,,今際の国のアリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Kingdom,"['Historical period', 'Political drama', 'Horror', 'Thriller']",,"['Ju Ji-hoon', 'Ryu Seung-ryong', 'Bae Doo-na', 'Kim Sang-ho', 'Kim Sung-kyu', 'Kim Hye-jun']",,South Korea,Korean,2,12 + 1 special ,,,,36–56 minutes,,Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,"January 25, 2019 (2019-01-25) –present (present)",36,present,,Lee Sung-joon,,,The Kingdom of the Godsby Kim Eun-hee and Yang Kyung-il,,,,,AStory,,,,,Single-camera,Kim Eun-hee,"['Kim Seong-hun', 'Park In-je (Season 2)']",,,,,,,Lee Sang-baek,,,,,,,,,,,킹덤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Persona,Anthology series,Yoon Jong-shin,Lee Ji-eun,,South Korea,Korean,1,4,,,,19–27 minutes,"['Mystic Story', 'Kirin Productions']",,Netflix,,,"April 11, 2019 (2019-04-11) –present (present)",19,present,,,,,,,,,,,,,,,,"['Lee Kyoung-mi', 'Yim Pil-sung', 'Jeon Go-woon', 'Kim Jong-kwan']","['Lee Kyoung-mi', 'Yim Pil-sung', 'Jeon Go-woon', 'Kim Jong-kwan']",,,,,,,,,,,,,,,,,,페르소나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Love Alarm,"['Science fiction', 'Romance', 'Teen']",,"['Kim So-hyun', 'Jung Ga-ram ', 'Song Kang']",,South Korea,Korean,1,8 ,,,,42–56 minutes,"['Netflix', 'Hidden Sequence', 'Studio Dragon']","['Netflix', 'CJ E&M']",['Netflix'],4K (16:9 UHDTV),Dolby Digital,"August 22, 2019 (2019-08-22) –present (present)",42,present,,Kijae Kim,,,Love Alarmby Chon Kye-young,Jiyoung Parkfor Studio Dragon,,,,,,,,,Single-camera,"['Lee Ah-yeon (Season 1)', 'Seo Bo-ra (Season 1-2)', 'Kim Sae-bom']","['Lee Na-jung (Season 1)', 'Kim Jin-woo (Season 2)', 'Park Yoo-yeong (Season 2)']",,,In My Dreams by Tearliner [ko] (feat. Love X Stereo),,,,Jinyee Kim,,,,,,,,,,,좋아하면 울리는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Extracurricular,"['Teen drama', 'Crime drama']",,"['Kim Dong-hee', 'Jung Da-bin', 'Park Ju-hyun', 'Nam Yoon-soo', 'Choi Min-soo', 'Park Hyuk-kwon', 'Kim Yeo-jin']",,South Korea,Korean,1,10 ,,,,44–72 minutes,,Netflix,Netflix,,,"April 29, 2020 (2020-04-29)",44,04,,,,,,,,,,Studio 329,,,,,Single camera,Jin Han-sae,Kim Jin-min,,,,,,,Yoon Shin-ae,,,,,,,,,,,인간수업,人間授業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,The School Nurse Files,"['Comedy', 'Fantasy']",,"['Jung Yu-mi', 'Nam Joo-hyuk']",,South Korea,Korean,1,6,Park Sung-hyeShin Yeon-ju,,,45–57 minutes,,Netflix,Netflix,,,"September 25, 2020 (2020-09-25)",45,09,,,,,School Nurse Ahn Eun-youngby Chung Serang,,,,,KeyEast,,,,,,"['Chung Serang', 'Lee Kyoung-mi']",Lee Kyoung-mi,,,,,,,,,,,,,,,,,,보건교사 안은영,保健教師 안은영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Sweet Home,"['Drama', 'Horror', 'Apocalyptic']",NetflixProduction Plan,"['Song Kang', 'Lee Jin-wook', 'Lee Si-young', 'Lee Do-hyun ', 'Kim Nam-hee ']",,South Korea,Korean,1,10,,,,44–59 minutes,"['Studio Dragon', 'Studio N']",Netflix,Netflix,4K (Ultra HD),Dolby Digital,"December 18, 2020 (2020-12-18)",44,12,,Jinnie Choi [ko],,,Sweet Homeby Kim Carnby and Hwang Young-chan,Studio Dragon,,,,,,,,Kim Woo-seok,Single camera,"['Hong So-ri', 'Kim Hyung-min', 'Park So-jung']","['Lee Eung-bok', 'Jang Young-woo', 'Park So-hyun']",Gaemi,,,,,,Kim Young-kyu,,,,,,,,,,,스위트홈,,Kim Seol-jin,$27 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Home for Christmas,"Romantic comedy, drama-comedy",,,,Norway,Norwegian,2,12,,,,,,Netflix,,,,5 December 2020 (2020-12-05),,12,,Anders Tangen,,,,,,,,,,,,,,,Per-Olav Sørensen [no],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ragnarok,,Adam Price,"['David Stakston', 'Jonas Strand Gravli', 'Herman Tømmeraas', 'Theresa Frostad Eggesbø', 'Emma Bones', 'Henriette Steenstrup', 'Gísli Örn Garðarsson', 'Synnøve Macody Lund']",,"['Denmark', 'Norway']",Norwegian,1,6,"['Adam Price', 'Meta Louise Foldager Sørensen']",,,,,,Netflix,,,31 January 2020 (2020-01-31) – present,, present,,Stine Meldgaard Madsen,Norway,,,,,,,SAM Productions,,,,,,"['Adam Price', 'Simen Alsvik', 'Marietta von Hausswolff von Baumgarten', 'Christian Gamst Miller-Harris', 'Jacob Katz Hansen']","['Mogens Hagedorn', 'Jannik Johansen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Bloodride,,,"['Stig R. Amdam', 'Anna Bache-Wiig', 'Ellen Bendu']",,Norway,Norwegian,1,6,,,,27–33 minutes,"['Monster Scripted AS', 'Netflix']",Netflix,Netflix,,,"March 13, 2020 (2020-03-13) –present",27,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Girls from Ipanema,,"['Heather Roth', 'Giuliano Cedroni']","['Maria Casadevall', 'Pathy Dejesus', 'Fernanda Vasconcellos', 'Mel Lisboa', 'Leandro Lima', 'Ícaro Silva', 'Alexandre Cioletti', 'Gustavo Vaz', 'Gustavo Machado', 'Larissa Nunes']",,Brazil,Portuguese,2,13,"['Giuliano Cedroni', 'Heather Roth', 'Maria Angela de Jesus', 'Camila Groch', 'Francesco Civita', 'Caíto Ortiz', 'Beto Gauss']",,,34–56 minutes,,Netflix,Netflix,4K (Ultra HD),,"March 22, 2019 (2019-03-22) –present",34,present,,,Rio de Janeiro,,,,,,"""The Girl from Ipanema"" by Amy Winehouse",Prodigo Films,,"['Beto Gauss', 'Francesco Civita']",,,Multiple-camera,"['', 'Heather Roth', 'Patricia Corso', 'Leonardo Moreira', 'Luna Grimberg', 'Giuliano Cedroni', 'Mariana Tesch']","['Caíto Ortiz', 'Hugo Prata', 'Julia Rezende']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sintonia,"['Crime drama', 'Teen drama']",Kondzilla,"['Jottapê', 'Christian Malheiros', 'Bruna Mascarenhas']",,Brazil,Portuguese,1,6,['Felipe Braga'],"['Felipe Hermini', 'Lito Mendes da Rocha']","['Helena Maura', 'Rodrigo Menecucci', 'Estevan Santos']",36–47 minutes,,,Netflix,4K (Ultra HD),,"August 9, 2019 (2019-08-09) –present",36,present,,,,,,,,,,Losbragas,,"['Rita Moraes', 'Felipe Braga', 'Alice Braga']",,,,"['Guilherme Quintella', 'Duda de Almeida', 'Thays Berbe']","['Kondzilla', 'Johnny Araújo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Reality Z,Zombie horror,Cláudio Torres,"['Ana Hartmann', 'Emílio de Mello', 'Carla Ribas', 'Ravel Andrade', 'Guilherme Weber', 'Luellem de Castro', 'João Pedro Zappa', 'Hanna Romanazzi', 'Jesus Luz']",,Brazil,Portuguese,1,10 ,Charlie BrookerAnnabel Jones,Rodrigo Monte,Sérgio MeklerIsadora Boschiroli,40 minutes,,,Netflix,4K (Ultra HD),,10 June 2020 (2020-06-10) –present,40,present,,,,,Dead Setby Charlie Brooker,,,,,Conspiração Filmes,,Cláudio TorresRenata Brandão,,,,Cláudio TorresJoão Costa,Rodrigo Monte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Kissing Game,Thriller drama,Esmir Filho,"['Caio Horowicz', 'Denise Fraga', 'Esther Tinman', 'Bianca Byington', 'Carolina del Carmen Peleritti', 'Iza Moreira', 'Thomás Aquino']",,Brazil,Portuguese,N/A,,,,,,"['Gullane', 'Fetiche Features']",Netflix,Netflix,,,"July 17, 2020 (2020-07-17) –present",,present,,,,,,,,,,,,"['Fernando Sapelli', 'Thereza Menezes', 'Caio Gullane', 'Fabiano Gullane']",,,,,"['Esmir Filho', 'Juliana Rojas']",,,,,,,,,,,,,,,"['Esmir Filho', 'Juliana Rojas', 'Marcelo Marchi', 'Jaqueline Souza', 'Thais Guisasola']",,,,,,,Boca a Boca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
