,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
174,The Victims' Game,"['Drama', 'Thriller']",Chien Shih-keng,"['Joseph Chang', 'Wei-ning Hsu', 'Shih-hsien Wang']",,[' Republic of China (Taiwan)'],,1,8,,,"['Shieh Meng-ju', 'Chiang Yi-ning']",62-67 minutes,"['Third Man Entertainment Co., Ltd.', 'Greener Grass Production Co., Ltd.', 'Taiwan Mobile Co., Ltd.']",Netflix,Netflix,,,30 April 2020 (2020-04-30),62,04,MUSDM,,,,The Fourth Victimby INFINITY,"Monomyth Co., Ltd.",,,,,,"['Phil Tang', 'Hsu Kuo-lun', 'Hsu Wen-hsiung']",,,,"['Liang Shu-ting', 'Hsu Ruei-liang']","['David Chuang', 'Chen Kuan-chung']",,,One Who Will (Find Me) by Karencici [zh],,,"['Mandarin', 'Taiwanese Hokkien']",Tseng Han-hsien,,,,,,,,,,,,,,,,,誰是被害者,谁是被害者,Shuí Shì Bèihàizhě,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,The Woods,"['Crime drama', 'Mystery', 'Thriller']",Harlan Coben,"['Grzegorz Damięcki', 'Agnieszka Grochowska', 'Hubert Miłkowski', 'Wiktoria Filus']",,Poland,Polish,1,6 ,"['Andrzej Muszyński', 'Harlan Coben']",,,46–55 minutes,,,Netflix,,,12 June 2020 (2020-06-12),46,06,,,,,The Woodsby Harlan Coben,,,,,ATM Grupa,,,,,,"['Agata Malesińska', 'Wojciech Miłoszewski']","['Leszek Dawid', 'Bartosz Konopka']",['Łukasz Targosz'],,,,,,,,,,,,,,,,,,,,,,,,,,W głębi lasu,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Love & Anarchy,Romantic comedy,Lisa Langseth,"['Ida Engvoll', 'Björn Mosten', 'Johannes Bah Kuhnke', 'Björn Kjellman', 'Reine Brynolfsson', 'Gizem Erdogan', 'Carla Sehn']","['Kristian Selin Lidnes Andersen', 'Adam Nordén']",Sweden,Swedish,1,8 ,"['Frida Asp', 'Pontus Edgren', 'Martina Håkansson']",Ulf Bråntos,"['Henrik Källberg', 'Elin Pröjts']",25–33 minutes,"['FLX', 'Setkeeper']",Netflix Streaming Services,Netflix,,,4 November 2020 (2020-11-04) –present (present),25,present,,Fatima Varhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kärlek och anarki,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Paranormal,"['Supernatural', 'Drama', 'Horror', 'Thriller']",,"['Ahmed Amin', 'Reem Abd El Kader', 'Samma Ibrahim', 'Razane Jammal', 'Aya Samaha']",,Egypt,Egyptian Arabic,1,6,"['Mohamed Hefzy', 'Amr Salama']",Ahmed Bashary,"['Ahmed Hafez', 'Ahmed Yousry', 'Rami Bakr (Assistant Editor)']",46–55 minutes,,Netflix Streaming Services,Netflix,High-definition video,Digital system,5 November 2020 (2020-11-05),46,11,,,,,Ma Waraa Al Tabiaa novel series,,,,,Filmclinic,,"['Netflix', 'Walid Al-Sabbagh']",Khaled Al Kammar,,,Ahmed Khaled Tawfik,Amr Salama  Majid Al Ansari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Paava Kadhaigal,,,"['Kalidas Jayaram', 'Shanthnu Bhagyaraj', 'Bhavani Sre', 'Vinodhini Vaidyanathan', 'Nakkalites Dhanam', 'Anjali', 'Kalki Koechlin', 'Padam Kumar', 'Simran', 'Gautham Menon', 'Aadhitya Baaskar', 'Prakash Raj', 'Sai Pallavi', 'Hari Krishnan']",,,,N/A,N/A,,Theni EswarSuresh Bala Ganesh RajaveluJomon T. John,,145 minutes,,,,,,,145,,,,,,,,,,,,,,,,,,Sudha KongaraVignesh ShivanGautham Vasudev MenonVetrimaaran,"['Justin Prabhakaran ', 'Anirudh Ravichander', 'Karthik', 'R Sivatmikha']",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashi DuaRhea KongaraRonnie ScrewvalaAvinash Viswanathan,RSVP MoviesFlying Unicorn Entertainment,Netflix,['18 December 2020 (2020-12-18)'],India,Tamil,,,,,,,,,,,,,,,,,,,,
179,Equinox,"['Supernatural', 'Mystery', 'Thriller']",Tea Lindeburg,"['Danica Curcic', 'Lars Brygmann', 'Fanny Bornedal']",Kristian LethFridolin Nordsø,Denmark,Danish,1,6,,Laust Trier-MørkMattias Troelstrup,,ca. 45 minutes,,Netflix,Netflix,,,30 December 2020 (2020-12-30),45,12,,Dorte Riis Lauridsen,,,,,,,,Apple Tree Productions,,,,,,"['Tea Lindeburg', 'Mette Kruse', 'Tue Walin Storm', 'Andreas Garfield', 'Jacob Katz Hansen', 'Bo Mikkelsen', 'Mie Skjoldemose']","['Søren Balle', 'Mads Matthiesen']",,,,,,,Piv Bernth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Pitta Kathalu,,,"['Shruti Haasan', 'Eesha Rebba', 'Amala Paul', 'Lakshmi Manchu', 'Jagapathi Babu', 'Ashima Narwal']",,,,N/A,N/A,,,,150 minutes,,,,,,,150,,,,,,,,,,,,,,,,,Tharun BhasckerRadhika AnandNag AshwinNanda Kishore Emani,"['Nag Ashwin', 'B.V. Nandini Reddy', 'Tharun Bhascker', 'Sankalp Reddy']",Vivek Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronnie ScrewvalaAshi Dua,RSVP MoviesFlying Unicorn Entertainment,Netflix,['19 February 2021 (2021-02-19)'],India,Telugu,Upendra Varma,,,,,,,,,,,,,,,,,,,
181,Jack Whitehall: Travels with My Father,Travel documentarycomedy,Jack Whitehall,,,United Kingdom,English,N/A,15,,,,29–61 min,Tiger Aspect ProductionsCave Bear,,Netflix,,,"September 22, 2017 (2017-09-22) –present (present)",29,present,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Jack Whitehall', 'Michael Whitehall']",,,,,,,,,,,,,,,,,,
182,Somebody Feed Phil,"['Documentary', 'Travel documentary']",,,,United States,English,4,22 ,,,,46-63 minutes,,Netflix,Netflix,,,"January 12, 2018 (2018-01-12) –present",46,present,,,,,,,,,,,,,,,,,John Bedolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philip Rosenthal,,,,,,,,,,,,,,,,,,
183,Dirty Money,Documentary,,,,United States,English,2,12 ,"['Adam Del Deo', 'Yon Motskin', 'Lisa Nishimura', 'Stacey Offman', 'Jason Spingarn-Koff', 'Alex Gibney']",,,50–77 minutes,,Netflix,Netflix,,,"January 26, 2018 (2018-01-26) –present (present)",50,present,,,,,,,,,"""Lie, Cheat, Steal"" by Run the Jewels",Jigsaw Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Ugly Delicious,"['Cooking', 'Documentary', 'Travel']",,"['David Chang', 'Peter Meehan', 'Aziz Ansari', 'David Choe', 'Rene Redzepi']",,,English,2,12,Ben CotnerAdam Del Deo,,,45-55 minutes,,Netflix,Netflix,Digital (HDTV),,"February 23, 2018 (2018-02-23) –present (present)",45,present,,,,,,,,,,Tremolo Productions,,"['Morgan Neville', 'David Chang', 'Eddie Schmidt', 'Peter Meehan', 'Christopher Chen', 'Lisa Nishimura']",,,,,"['Eddie Schmidt', 'Jason Zeldes', 'Laura Gabbert', 'Morgan Neville']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Chang,Worldwide,,,,,,,,,,,,,,,,,
185,Dogs,Documentary,Glen Zipper,,,,,1,6 ,"['Amy J. Berg', 'Glen Zipper']",,,50–53 minutes,"['Disarming Films', 'Zipper Bros Films']",Netflix,Netflix,,,"November 16, 2018 (2018-11-16) –present (present)",50,present,,Paul McGuire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Sunderland 'Til I Die,fly on the wall documentary,,,,United Kingdom,English,2,14,"['Leo Pearlman', 'Ben Turner']",,,37-42 mins,,,Netflix,,,14 December 2018 - 01 April 2020,37, 01 April 2020,,,,,,,,,,Fulwell 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Formula 1: Drive to Survive,Documentary series,Formula OneNetflix,,,,English,2,20 ,"['James Gay-Rees', 'Paul Martin', 'Sophie Todd']",,,27–40 minutes,,,Netflix,,,8 March 2019 (2019-03-08)—present (present),27,03,,,,,,,,,,Box to Box Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,The Chef Show,"['Documentary', 'Cooking show']",Jon Favreau,,,United States,,2 ,25 ,"['Jon Favreau', 'Roy Choi', 'Annie Johnson']",,,26–34 minutes,,Netflix,Netflix,,,"June 7, 2019 (2019-06-07) –present (present)",26,present,,,,,,,Chef,,,Fairview Entertainment,,,,,,,Jon Favreau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Jon Favreau', 'Roy Choi']",,,,,,,,,,,,,,,,,,
189,Taco Chronicles,,Pablo Cruz,,,United States,Spanish,2,13,,,,24-33 minutes,,Netflix,Netflix,,,"July 12, 2019 (2019-07-12) –present",24,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Babies,,,,,United States,English,2,12 ,,,,49–52 minutes,,Netflix,,,,"February 21, 2020 (2020-02-21)",49,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Absurd Planet,,,,,United States,English,1,12,,,,19 minutes,"['Condé Nast Entertainment', 'Love Productions USA']",,Netflix,,,22 April 2020 (2020-04-22),19,04,,,,,,,,,,,,,Edmund Butt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Trial by Media,,,,"['Carl Dante', 'Scott Michael Smith', 'Tyler Strickland']",United States,English,1,6 ,"['Jeffrey Toobin', 'Steven Brill', 'George Clooney', 'Brian McGinn', 'Jason Sterman', 'David Gelb', 'Sarah Shepard']",,,57-104 minutes,"['Supper Club', 'Smokehouse Pictures']",Netflix,Netflix,,,"May 11, 2020 (2020-05-11)",57,05,,,,,,,,,,,,,,,,,"['Skye Borgman', 'Garrett Bradley', 'Yance Ford', 'Brian McGinn', 'Sierra Pettengill', 'Tony Yacenda']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,History 101,,,,,United Kingdom,English,1,10 ,,,,20–23 minutes,,Netflix,,,,"May 22, 2020 (2020-05-22)",20,05,,,,,,,,,,ITN Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Lenox Hill,['Documentary'],,,,United States,English,1,9 ,"['Ruthie Shatz', 'Adi Barash', 'Josh Braun']","['Adi Barash', 'Bryant Fisher']","['Ruthie Shatz', 'Helen Yum', 'Akiko Iwakawa-Grieve']",48–53 minutes,"['Netflix Studios', 'Yulari Films']",Netflix,,,,"June 10, 2020 (2020-06-10)",48,06,,,,,,"['Ruthie Shatz', 'Adi Barash']",,,,,,,Uri Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Home Game,,,,,United States,English,1,8,Ryan DuffyAustin RezaAndrew FriedDane LillegardJordan WynnMatti LeshemLou Arbetter,,,22–36 minutes,['Boardwalk Pictures'],Netflix,Netflix,,,"June 26, 2020 (2020-06-26)",22,06,,,,,,,,Mark Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Down to Earth with Zac Efron,Web documentary,,Zac Efron,,United States,English,1,8 ,Zac EfronDarin OlienJason BarrettGriffin GmelichCisco HensonMichael SimpkinBrian Volk-Weiss,Jeff Santos,,,,Netflix,,,,"July 10, 2020 (2020-07-10)",,07,,,,,,,,Zac Efron,,The Nacelle Company,,Dylan EfronLaura CoconatoSteve HoffmanRachael Wax Taber,,Rachel Wax Taber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,The Business of Drugs,,,,,United States,English,1,6,"['Christopher Collins', 'Lydia Tenaglia', 'Erik Osterholm', 'Kaj Larsen', 'BJ Levin', 'John X. Kim']",Frederic Menou,"['Kimberly Tomes', 'Andrew Ford', 'Mustafa Bhagat', 'Alex Keipper']",39–46 minutes,"['Zero Point Zero Production', 'Universal Content Productions']",Netflix,,,,"July 14, 2020 (2020-07-14)",39,07,,,,,,,,,,,,"['Leila Abu-Saada', 'Gillian Brown', 'Liz Fields', 'Beth Morrissey']",,,,,,Paul Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amaryllis Fox,,,,,,,,,,,,,,,,,,
198,Street Food,Documentary,David GelbBrian McGinn,,,USA,English,2,15,,,,30-34 min.,,Netflix,Netflix,,,"April 26, 2019 (2019-04-26) –present (present)",30,present,,,,,,,,,,,,,,,,,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide,,,,,,,,,,,,,,,,,
199,Fear City: New York vs The Mafia,"['Documentary', 'True crime']",,,,United States,English,1,3,"['Dimitri Doganis', 'Bart Layton', 'Adam Hawkins', 'Jon Liebman']",Tim Cragg,"['Julian Hart', 'Tom Parsons']",44–62 minutes,"['Raw Television', 'Brillstein Entertainment Partners']",Netflix,,,,"July 22, 2020 (2020-07-22)",44,07,,Bernadette Higgins,,,,,,,"""Hard Times"" by Baby Huey & the Babysitters",,,,,,,,Sam Hobkinson,Paul Moessl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Connected: The Hidden Science of Everything,,,,,United States,English,1,6,"['Christopher Collins', 'Lydia Tenaglia', 'Erik Osterholm', 'Latif Nasser', 'David Mettler']","['Jeremy Leach', 'Peter Alton', 'Rick Smith', 'Omar Mullick', 'Christopher Gill', 'Steve Pietre']","['Michelle Kim', 'Jonathan Cianfrani', 'Chris Aiola', 'Andrew Ford', 'Derek Pons']",39–49 minutes,,Netflix,,,,"August 2, 2020 (2020-08-02)",39,08,,,,,,,,,,Zero Point Zero Production Inc.,,,Kishi Bashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latif Nasser,,,,,,,,,,,,,,,,,,
201,Immigration Nation,,,,,United States,English,1,6,,,,60–64 minutes,,Netflix,,,,"August 3, 2020 (2020-08-03)",60,08,,,,,,,,,,Reel Peak Films,,,,,,,"['Christina Clusiau', 'Shaul Schwarz']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,World's Most Wanted,Documentary,,,,France,English,1,5,,,,45-48 minutes,,Netflix,,,,"August 5, 2020 (2020-08-05)",45,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Tiny Creatures,,Jonathan Jones,Various small animals and predators,,United States of America,English,1,8,,Jonathan Jones,,24-25 minutes,,Netflix,Netflix,,,"August 7, 2020 (2020-08-07)",24,08,,,,"Sonoran Desert, Manhattan, New York City, New York, Minnesota, Texas, New Orleans, Louisiana, England",,,,Mike Colter,,,,,,Donovan Jones; Joe Carnaby,Multi-camera,,Jonathan Jones,,Mike Colter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,High Score,Documentary,France Costrel,,,United States,,1,6,"['William Acks', 'Sam LaCroix', 'France Costrel', 'Melissa Wood', 'Courtney Coupe']",,,37-47 minutes,,,Netflix,,,"August 19, 2020 (2020-08-19)",37,08,Power Glove,,,,,,,Charles Martinet,,Great Big Story,,,,,,,"['William Acks, Sam LaCroix, France Costrel, Melissa Wood']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Chef's Table,Documentary,David Gelb,,"Duncan Thum (14 ep.), Silas Hite (3 ep.), Matt Abeysekera (1 ep.), Sarah Schachner (1 ep.), Danny Bensi (1 ep.), Saunder Jurriaans (1 ep.), Sebastian Örnemark (7 ep.)",United States,English,6,30,"['Andrew Fried (22 ep.)', 'David Gelb (22 ep.)', 'Brian McGinn (22 ep.)', 'Dane Lillegard (18 ep.)', 'Matt Weaver (13 ep.)', 'Lisa Nishimura (6 ep.)']","Adam Bricker (9 ep.), Will Basanta (5 ep.), Matthew Chavez (1 ep.), Chloe Weaver (1 ep.)","Jason Moll (18 ep.), Matt Mascia (17 ep.), Robinson Eng (14 ep.), Jay Garcia (12 ep.), Brianne Hunt (12 ep.), Brian Triebwasser (12 ep.), Hannah Tripp (12 ep.), Dante Pasquinelli (9 ep.), et al.",50 minutes (roughly),"Netflix, Boardwalk Pictures, Supper Club, FINCH, Itaca Films",Netflix,Netflix,Digital (HDTV),,"April 26, 2015 (2015-04-26) –present (present)",50,present,"Antonio Vivaldi – Winter, The Four Seasons (Concerto No. 4 in F minor, Op. 8, RV 297) – Recomposed by Max Richter",,,,,,,,,,,"Danny O'Malley (11 ep.), Drew Palombi (9 ep.), Claire Dagress (6 ep.), John Henion (6 ep.), Michael Hilliard, et al.",,,,,"['Brian McGinn (6 episodes)', 'Clay Jeter (5 episodes)', 'David Gelb (4 episodes)', 'Andrew Fried (3 episodes)', 'Abigail Fuller (2 episodes)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boardwalk Pictures, Supper Club",Worldwide,,,,,,,,,,,,,,,,,
206,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,La Línea: Shadow of Narco,,,,,Spain,Spanish,1,4,,,,29-37 minutes,,Netflix,,,,"September 9, 2020 (2020-09-09)",29,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Izzy's Koala World,,,Izzy Bee,"['Art Hays', 'Devin Moore']",Australia,English,1,8,"['John Collin, Jr.', 'Suzanne Kolb', 'Izzie Lerer', 'Jared McGilliard']",,,14–18 minutes,,Netflix,Netflix,HDTV 1080p,Stereo,"September 15, 2020 (2020-09-15) –present",14,present,,,,,,,,,"""Rabbit!""",Nomadica Films,,,,Ross Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Challenger: The Final Flight,,,,,United States,English,1,4,,,"Adrienne Gits, Poppy Das",41–52 minutes,"['Bad Robot', 'Sutter Road Picture Company', 'Zipper Bros Films']",Netflix,Netflix,HDTV 1080p,Stereo,"September 16, 2020 (2020-09-16)",41,09,,,,,,"['Steven Leckart', 'Glen Zipper']",,,,,,,,,,,"Daniel Junge, Steven Leckart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,The Playbook,,,,,United States,English,1,5,,,,31–35 minutes,"['Boardwalk Pictures', 'Delirio Films', 'SpringHill Entertainment']",Netflix,Netflix,,,"September 22, 2020 (2020-09-22)",31,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,A Perfect Crime,,,,,Germany,German,1,4,,,,38–46 minutes,,Netflix,Netflix,,,"September 25, 2020 (2020-09-25)",38,09,,,,,,,,,,Gebrueder Beetz Filmproduktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"Whose Vote Counts, Explained",,,,,United States,English,1,3,,,,21–25 minutes,,Netflix,Netflix,,,"September 28, 2020 (2020-09-28)",21,09,,,,,,,,"['Leonardo DiCaprio', 'Selena Gomez', 'John Legend']",,Vox Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Bad Boy Billionaires: India,,,,,India,,1,3,,,,,,Netflix,,,,5 October 2020 (2020-10-05),,10,,,,,,,,,,,,,,,,,Dylan Mohan GrayNick ReadJohanna Hamilton,,,,,,"English, Hindi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Deaf U,Docuseries,,,,United States,,1,8,"['Eric Evangelista', 'Shannon Evangelista', 'Nyle DiMarco', 'Brandon Panaligan']","['John Keleran', 'Justin Remillard']","['Billy Murphy', 'Richard Campbell', 'Brian Paetzold']",16–21 minutes,,,Netflix,,,"October 9, 2020 (2020-10-09)",16,10,,Sami Housman,,,,,,,,Hot Snakes Media,,,,,,,,"['BMG Music Productions', 'Extreme Music', 'West One Music']",,,,,"['American Sign Language', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Move,,,"['Jon Boogz', 'Lil Buck', 'Israel Galván']",,United States,English,1,5,,,,47–59 minutes,,Netflix,Netflix,,,"October 23, 2020 (2020-10-23)",47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Carmel: Who Killed Maria Marta?,True crimeDocumentary,,,,Argentina,Spanish,1,4,Mariela BesuievskyVanessa Ragone,,,55–60 minutes,,Netflix,,,,"November 5, 2020 (2020-11-05)",55,11,,,,,,,,,,Haddock Films,,,,,,Alejandro HartmannSofía MoraLucas Bucci Tomás Sposato,Alejandro Hartmann,,,,,Carmel ¿quién mató a María Marta?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"""Trial 4""","True crime, Docuseries",,,,United States,,1,8,,,,,,Netflix,,,,"November 11, 2020 (2020-11-11)",,11,,,,,,,,,,,,,,,,,Rémy Burkel,,,,,,,Jean-Xavier de Lestrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"""Voices of Fire""","Gospel, Docuseries",,,,United States,,1,N/A,,,,,"['A. Smith & Co.', 'I Am Other']",Netflix,,,,"November 20, 2020 (2020-11-20)",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,The Movies That Made Us,['Documentary'],,,,United States,English,2,6,"['Cisco Henson', 'Brian Volk-Weiss', 'Jay Chapman', 'Benjamin J. Frost']",,"['Patrick Berry', 'Benjamin J. Frost', 'Nick Ferrell']",45–52 minutes,,Netflix,,,,"November 29, 2019 (2019-11-29)",45,11,,,,,,,,"['Donald Ian Black (S1)', 'Phe Caplan (S2)']",,The Nacelle Company,,,,,,"['Benjamin J. Frost', 'Brian Volk-Weiss']",Brian Volk-Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,The Ripper,Docu-series,,,,United Kingdom,English,1,4,,,,,,Netflix,Netflix,,,16 December 2020 (2020-12-16),,12,,,,,,,,,,Netflix,,,,,,,Jesse VileEllena Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,History of Swear Words,Documentary series,,,,United States,English,1,6,"['Brien Meagher', 'Rhett Bachner', 'Mike Farah', 'Joe Farrell', 'Beth Belew', 'Bellamie Blackstone']",,,20 minutes,B17 EntertainmentFunny or Die,Netflix,Netflix,14:9,Stereo,"January 5, 2021 (2021-01-05)",20,01,Adam Blau,Ben Stoddard,,,,,,,,,,,,,,"['Joel Boyd', 'Sara Schaefer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Cage,,,,,,,,,,,,,,,,,,
222,Surviving Death,Documentary,,,,United States,,1,6,,,,,,,Netflix,,,"January 6, 2021 (2021-01-06)",,01,,,,,,,,,,,,Jonele ConceicaoRicki SternJesse SweetJessica Vale,,,,,Ricki Stern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Pretend It's a City,,,,,,,1,7,"['Fran Lebowitz', 'Josh Porter', 'Martin Scorsese', 'David Tedeschi', 'Ted Griffin', 'Emma Tillinger Koskoff', 'Margaret Bodde']",Ellen Kuras,"['David Tedeschi', 'Damian Rodriguez']",26-31 minutes,,,Netflix,,,"January 8, 2021 (2021-01-08)",26,01,,,,,,,,,,,,,,,,,Martin Scorsese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Crime Scene: The Vanishing at the Cecil Hotel,,,"['Viveca Chow', 'Judy Ho', 'Artemis Snow']",,United States,,1,4,"['Joe Berlinger', 'Ron Howard', 'Brian Grazer', 'Sara Bernstein', 'Justin Wilkens', 'Jon Doran', 'Jon Kamen', 'Ryan Miller']",Jeff Hutchens,,51–58 minutes,"['Imagine Documentaries', 'RadicalMedia', 'Third Eye Motion Picture Company']",Netflix,Netflix,,,"February 10, 2021 (2021-02-10)",51,02,,,,,,,,,,,,,Wendy Blackstone,,,,Joe Berlinger,,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
